filename, year, varnm, plev, jday, yyyymmdd
/home/jwalker/datastore/merra2/daily/1986/merra2_U850_40E-120E_90S-90N_1986.nc, 1986, U, 850, 358, 19861224
/home/jwalker/datastore/merra2/daily/1986/merra2_DUDP925_40E-120E_90S-90N_1986.nc, 1986, DUDP, 925, 358, 19861224
/home/jwalker/datastore/merra2/daily/1986/merra2_DUDP775_40E-120E_90S-90N_1986.nc, 1986, DUDP, 775, 358, 19861224
/home/jwalker/datastore/merra2/daily/1995/merra2_V300_40E-120E_90S-90N_1995.nc, 1995, V, 300, 155, 19950604
/home/jwalker/datastore/merra2/daily/1997/merra2_U1000_40E-120E_90S-90N_1997.nc, 1997, U, 1000, 273, 19970930
/home/jwalker/datastore/merra2/daily/1997/merra2_DUDP1000_40E-120E_90S-90N_1997.nc, 1997, DUDP, 1000, 273, 19970930
/home/jwalker/datastore/merra2/daily/1997/merra2_DUDP925_40E-120E_90S-90N_1997.nc, 1997, DUDP, 925, 273, 19970930
/home/jwalker/datastore/merra2/daily/1998/merra2_H400_40E-120E_90S-90N_1998.nc, 1998, H, 400, 270, 19980927
/home/jwalker/datastore/merra2/daily/2008/merra2_OMEGA1000_40E-120E_90S-90N_2008.nc, 2008, OMEGA, 1000, 200, 20080718
/home/jwalker/datastore/merra2/daily/2008/merra2_OMEGA1000_40E-120E_90S-90N_2008.nc, 2008, OMEGA, 1000, 207, 20080725
/home/jwalker/datastore/merra2/daily/2008/merra2_DOMEGADP1000_40E-120E_90S-90N_2008.nc, 2008, DOMEGADP, 1000, 200, 20080718
/home/jwalker/datastore/merra2/daily/2008/merra2_DOMEGADP1000_40E-120E_90S-90N_2008.nc, 2008, DOMEGADP, 1000, 207, 20080725
/home/jwalker/datastore/merra2/daily/2008/merra2_DOMEGADP925_40E-120E_90S-90N_2008.nc, 2008, DOMEGADP, 925, 200, 20080718
/home/jwalker/datastore/merra2/daily/2008/merra2_DOMEGADP925_40E-120E_90S-90N_2008.nc, 2008, DOMEGADP, 925, 207, 20080725
/home/jwalker/datastore/merra2/daily/2008/merra2_H300_40E-120E_90S-90N_2008.nc, 2008, H, 300, 206, 20080724
/home/jwalker/datastore/merra2/daily/2012/merra2_OMEGA400_40E-120E_90S-90N_2012.nc, 2012, OMEGA, 400, 353, 20121218
/home/jwalker/datastore/merra2/daily/2012/merra2_DOMEGADP500_40E-120E_90S-90N_2012.nc, 2012, DOMEGADP, 500, 353, 20121218
/home/jwalker/datastore/merra2/daily/2012/merra2_DOMEGADP300_40E-120E_90S-90N_2012.nc, 2012, DOMEGADP, 300, 353, 20121218
/home/jwalker/datastore/merra2/daily/2012/merra2_H20_40E-120E_90S-90N_2012.nc, 2012, H, 20, 152, 20120531
/home/jwalker/datastore/merra2/daily/2015/merra2_U600_40E-120E_90S-90N_2015.nc, 2015, U, 600, 97, 20150407
/home/jwalker/datastore/merra2/daily/2015/merra2_DUDP700_40E-120E_90S-90N_2015.nc, 2015, DUDP, 700, 97, 20150407
/home/jwalker/datastore/merra2/daily/2015/merra2_DUDP500_40E-120E_90S-90N_2015.nc, 2015, DUDP, 500, 97, 20150407
/home/jwalker/datastore/merra2/daily/2015/merra2_V250_40E-120E_90S-90N_2015.nc, 2015, V, 250, 300, 20151027
